cid,cmpdname,cmpdsynonym,mw,mf,polararea,complexity,xlogp,heavycnt,hbonddonor,hbondacc,rotbonds,inchi,isosmiles,canonicalsmiles,inchikey,iupacname,exactmass,monoisotopicmass,charge,covalentunitcnt,isotopeatomcnt,totalatomstereocnt,definedatomstereocnt,undefinedatomstereocnt,totalbondstereocnt,definedbondstereocnt,undefinedbondstereocnt,pclidcnt,gpidcnt,gpfamilycnt,meshheadings,annothits,annothitcnt,aids,cidcdate,sidsrcname,depcatg,annotation
 164517053,KRAS G12C inhibitor 54,KRAS G12C inhibitor 54|HY-147635,707.800,C36H40F3N7O3S,125.000,1380.000,7.300,50,1,11,7,"InChI=1S/C36H40F3N7O3S/c1-3-28(47)46-19-35(20-46)11-13-45(14-12-35)33-25-17-24(23-8-9-23)30(29-22(2)7-10-27-26(29)18-40-43-27)32(49-21-36(37,38)39)31(25)41-34(42-33)44-50(48)15-5-4-6-16-50/h3,7,10,17-18,23H,1,4-6,8-9,11-16,19-21H2,2H3,(H,40,43)",CC1=C(C2=C(C=C1)NN=C2)C3=C(C=C4C(=C3OCC(F)(F)F)N=C(N=C4N5CCC6(CC5)CN(C6)C(=O)C=C)N=S7(=O)CCCCC7)C8CC8,CC1=C(C2=C(C=C1)NN=C2)C3=C(C=C4C(=C3OCC(F)(F)F)N=C(N=C4N5CCC6(CC5)CN(C6)C(=O)C=C)N=S7(=O)CCCCC7)C8CC8,MOWSGIAREXMCDJ-UHFFFAOYSA-N,"1-[7-[6-cyclopropyl-7-(5-methyl-1H-indazol-4-yl)-2-[(1-oxothian-1-ylidene)amino]-8-(2,2,2-trifluoroethoxy)quinazolin-4-yl]-2,7-diazaspiro[3.5]nonan-2-yl]prop-2-en-1-one",707.287,707.287,0,1,0,0,0,0,0,0,0,0,0,0,"",Classification|Patents,2,"",20220727,MedChemexpress MCE|PATENTSCOPE (WIPO),Chemical Vendors|Governmental Organizations,""
164173905,KRAS G12C inhibitor 49,"KRAS G12C inhibitor 49|2761380-32-7|SCHEMBL25532675|DA-64777|HY-147630|2-[6-chloro-1-(4-methyl-2-propan-2-ylpyridin-3-yl)-4-[(2S)-2-methyl-4-prop-2-enoylpiperazin-1-yl]-2-oxopyrido[2,3-d]pyrimidin-7-yl]benzaldehyde",571.100,C31H31ClN6O3,99.100,1040.000,4.200,41,0,5,6,"InChI=1S/C31H31ClN6O3/c1-6-25(40)36-13-14-37(20(5)16-36)29-23-15-24(32)27(22-10-8-7-9-21(22)17-39)34-30(23)38(31(41)35-29)28-19(4)11-12-33-26(28)18(2)3/h6-12,15,17-18,20H,1,13-14,16H2,2-5H3/t20-/m0/s1",C[C@H]1CN(CCN1C2=NC(=O)N(C3=NC(=C(C=C32)Cl)C4=CC=CC=C4C=O)C5=C(C=CN=C5C(C)C)C)C(=O)C=C,CC1CN(CCN1C2=NC(=O)N(C3=NC(=C(C=C32)Cl)C4=CC=CC=C4C=O)C5=C(C=CN=C5C(C)C)C)C(=O)C=C,ZXUJCJOXPIRART-FQEVSTJZSA-N,"2-[6-chloro-1-(4-methyl-2-propan-2-ylpyridin-3-yl)-4-[(2S)-2-methyl-4-prop-2-enoylpiperazin-1-yl]-2-oxopyrido[2,3-d]pyrimidin-7-yl]benzaldehyde",570.215,570.215,0,1,0,1,1,0,0,0,0,0,1,1,"",Patents,1,"",20220706,"Debye Scientific Co., Ltd|Google Patents|InvivoChem|MedChemexpress MCE|PATENTSCOPE (WIPO)|SureChEMBL",Chemical Vendors|Curation Efforts|Governmental Organizations|Research and Development,""
163409094,KRAS G12C inhibitor 48,"KRAS G12C inhibitor 48|HY-146061|CS-0498800|(E)-2-((S)-4-(7-(8-Chloronaphthalen-1-yl)-2-(((S)-1-methylpyrrolidin-2-yl)methoxy)-5,6,7,8-tetrahydropyrido[3,4-d]pyrimidin-4-yl)-2-(cyanomethyl)piperazine-1-carbonyl)-3-cyclopropylacrylonitrile",651.200,C36H39ClN8O2,113.000,1260.000,5.400,47,0,9,8,"InChI=1S/C36H39ClN8O2/c1-42-15-4-7-28(42)23-47-36-40-31-22-43(32-9-3-6-25-5-2-8-30(37)33(25)32)16-13-29(31)34(41-36)44-17-18-45(27(21-44)12-14-38)35(46)26(20-39)19-24-10-11-24/h2-3,5-6,8-9,19,24,27-28H,4,7,10-13,15-18,21-23H2,1H3/b26-19+/t27-,28-/m0/s1",CN1CCC[C@H]1COC2=NC3=C(CCN(C3)C4=CC=CC5=C4C(=CC=C5)Cl)C(=N2)N6CCN([C@H](C6)CC#N)C(=O)/C(=C/C7CC7)/C#N,CN1CCCC1COC2=NC3=C(CCN(C3)C4=CC=CC5=C4C(=CC=C5)Cl)C(=N2)N6CCN(C(C6)CC#N)C(=O)C(=CC7CC7)C#N,CROGWWKTKKFIJR-YUWSGBISSA-N,"(E)-2-[(2S)-4-[7-(8-chloronaphthalen-1-yl)-2-[[(2S)-1-methylpyrrolidin-2-yl]methoxy]-6,8-dihydro-5H-pyrido[3,4-d]pyrimidin-4-yl]-2-(cyanomethyl)piperazine-1-carbonyl]-3-cyclopropylprop-2-enenitrile",650.288,650.288,0,1,0,2,2,0,1,1,0,0,0,0,"",Patents,1,"",20220630,AbaChemScene|BLD Pharm|MedChemexpress MCE|PATENTSCOPE (WIPO)|TargetMol,Chemical Vendors|Governmental Organizations,""
163408777,KRAS G12C inhibitor 43,"KRAS G12C inhibitor 43|2648808-69-7|SCHEMBL23632581|HY-142945|CS-0373983|2-[(2S)-4-[7-(3-methoxynaphthalen-1-yl)-2-[[(2S)-1-methylpyrrolidin-2-yl]methoxy]pyrido[2,3-d]pyrimidin-4-yl]-1-prop-2-enoylpiperazin-2-yl]acetonitrile",577.700,C33H35N7O3,108.000,1020.000,4.700,43,0,9,8,"InChI=1S/C33H35N7O3/c1-4-30(41)40-17-16-39(20-23(40)13-14-34)32-27-11-12-29(28-19-25(42-3)18-22-8-5-6-10-26(22)28)35-31(27)36-33(37-32)43-21-24-9-7-15-38(24)2/h4-6,8,10-12,18-19,23-24H,1,7,9,13,15-17,20-21H2,2-3H3/t23-,24-/m0/s1",CN1CCC[C@H]1COC2=NC3=C(C=CC(=N3)C4=CC(=CC5=CC=CC=C54)OC)C(=N2)N6CCN([C@H](C6)CC#N)C(=O)C=C,CN1CCCC1COC2=NC3=C(C=CC(=N3)C4=CC(=CC5=CC=CC=C54)OC)C(=N2)N6CCN(C(C6)CC#N)C(=O)C=C,JXYVRMVMAUIZEY-ZEQRLZLVSA-N,"2-[(2S)-4-[7-(3-methoxynaphthalen-1-yl)-2-[[(2S)-1-methylpyrrolidin-2-yl]methoxy]pyrido[2,3-d]pyrimidin-4-yl]-1-prop-2-enoylpiperazin-2-yl]acetonitrile",577.28,577.28,0,1,0,2,2,0,0,0,0,0,1,1,"",Patents,1,"",20220630,AbaChemScene|InvivoChem|MedChemexpress MCE|PATENTSCOPE (WIPO)|SureChEMBL|TargetMol,Chemical Vendors|Curation Efforts|Governmental Organizations|Research and Development,""
163206602,KRAS G12C inhibitor 50,"KRAS G12C inhibitor 50|2760354-12-7|SCHEMBL26124166|BDBM625377|US20230322788, Compound A4|HY-147631|2-[(2S)-4-[2-[[(2S)-1-methylpyrrolidin-2-yl]methoxy]-7-(naphthalen-1-ylmethyl)imidazo[2,1-f][1,2,4]triazin-4-yl]-1-prop-2-enoylpiperazin-2-yl]acetonitrile",550.700,C31H34N8O2,103.000,971.000,3.900,41,0,8,8,"InChI=1S/C31H34N8O2/c1-3-28(40)38-17-16-37(20-24(38)13-14-32)30-29-33-19-26(18-23-10-6-9-22-8-4-5-12-27(22)23)39(29)35-31(34-30)41-21-25-11-7-15-36(25)2/h3-6,8-10,12,19,24-25H,1,7,11,13,15-18,20-21H2,2H3/t24-,25-/m0/s1",CN1CCC[C@H]1COC2=NN3C(=CN=C3C(=N2)N4CCN([C@H](C4)CC#N)C(=O)C=C)CC5=CC=CC6=CC=CC=C65,CN1CCCC1COC2=NN3C(=CN=C3C(=N2)N4CCN(C(C4)CC#N)C(=O)C=C)CC5=CC=CC6=CC=CC=C65,OMJLVKOHXNQCJC-DQEYMECFSA-N,"2-[(2S)-4-[2-[[(2S)-1-methylpyrrolidin-2-yl]methoxy]-7-(naphthalen-1-ylmethyl)imidazo[2,1-f][1,2,4]triazin-4-yl]-1-prop-2-enoylpiperazin-2-yl]acetonitrile",550.28,550.28,0,1,0,2,2,0,0,0,0,0,1,1,"",Biological Test Results|Patents|Biological Test Results: Active|Biological Test Results: Micromolar,4,1919853,20220513,BindingDB|InvivoChem|MedChemexpress MCE|PATENTSCOPE (WIPO)|SureChEMBL|TargetMol,Chemical Vendors|Curation Efforts|Governmental Organizations|Research and Development,""
163196256,KRAS G12C inhibitor 34,"KRAS G12C inhibitor 34|2749948-26-1|SCHEMBL24070494|DA-54671|HY-142511|CS-0372560|(4aR)-7-chloro-8-(5-methyl-1H-indazol-4-yl)-10-(2-propan-2-ylanilino)-3-prop-2-enoyl-2,4,4a,5-tetrahydro-1H-pyrazino[2,1-c][1,4]benzoxazepin-11-one",570.100,C32H32ClN5O3,90.600,981.000,6.500,41,2,5,5,"InChI=1S/C32H32ClN5O3/c1-5-27(39)37-12-13-38-20(16-37)17-41-31-29(32(38)40)26(35-24-9-7-6-8-21(24)18(2)3)14-22(30(31)33)28-19(4)10-11-25-23(28)15-34-36-25/h5-11,14-15,18,20,35H,1,12-13,16-17H2,2-4H3,(H,34,36)/t20-/m1/s1",CC1=C(C2=C(C=C1)NN=C2)C3=CC(=C4C(=C3Cl)OC[C@H]5CN(CCN5C4=O)C(=O)C=C)NC6=CC=CC=C6C(C)C,CC1=C(C2=C(C=C1)NN=C2)C3=CC(=C4C(=C3Cl)OCC5CN(CCN5C4=O)C(=O)C=C)NC6=CC=CC=C6C(C)C,SPPFMHRDAZXATL-HXUWFJFHSA-N,"(4aR)-7-chloro-8-(5-methyl-1H-indazol-4-yl)-10-(2-propan-2-ylanilino)-3-prop-2-enoyl-2,4,4a,5-tetrahydro-1H-pyrazino[2,1-c][1,4]benzoxazepin-11-one",569.219,569.219,0,1,0,1,1,0,0,0,0,0,1,1,"",Patents,1,"",20220428,"AbaChemScene|BLD Pharm|Debye Scientific Co., Ltd|InvivoChem|MedChemexpress MCE|PATENTSCOPE (WIPO)|SureChEMBL|TargetMol",Chemical Vendors|Curation Efforts|Governmental Organizations|Research and Development,""
163196255,KRAS G12C inhibitor 32,KRAS G12C inhibitor 32|2756739-00-9|SCHEMBL24161933|HY-142487|CS-0372523,635.900,C29H30Cl3FN6O3,83.100,966.000,6.100,42,1,9,5,"InChI=1S/C29H30Cl3FN6O3/c1-3-21(40)38-8-10-39(11-9-38)28-17-13-18(30)22-23-24(33)19(31)14-20(32)26(23)34-6-12-41-27(22)25(17)35-29(36-28)42-15-16-5-4-7-37(16)2/h3,13-14,16,34H,1,4-12,15H2,2H3/t16-/m0/s1",CN1CCC[C@H]1COC2=NC3=C4C(=C(C=C3C(=N2)N5CCN(CC5)C(=O)C=C)Cl)C6=C(C(=CC(=C6F)Cl)Cl)NCCO4,CN1CCCC1COC2=NC3=C4C(=C(C=C3C(=N2)N5CCN(CC5)C(=O)C=C)Cl)C6=C(C(=CC(=C6F)Cl)Cl)NCCO4,ZQYOQPIFEDBQMJ-INIZCTEOSA-N,"1-[4-[4,6,20-trichloro-3-fluoro-15-[[(2S)-1-methylpyrrolidin-2-yl]methoxy]-11-oxa-8,14,16-triazatetracyclo[10.8.0.02,7.013,18]icosa-1(20),2(7),3,5,12,14,16,18-octaen-17-yl]piperazin-1-yl]prop-2-en-1-one",634.143,634.143,0,1,0,1,1,0,0,0,0,0,1,1,"",Classification|Patents,2,"",20220428,AbaChemScene|BLD Pharm|Google Patents|MedChemexpress MCE|PATENTSCOPE (WIPO)|SureChEMBL|TargetMol,Chemical Vendors|Curation Efforts|Governmental Organizations|Research and Development,""
163196254,KRAS G12C inhibitor 31,KRAS G12C inhibitor 31|2752352-86-4|DA-74792|HY-142485|CS-0372487,508.900,C25H22ClFN6O3,90.800,886.000,3.600,36,1,6,5,"InChI=1S/C25H22ClFN6O3/c1-3-20(34)28-15-8-10-16(11-9-15)31-12-5-13-32-21-22(29-24(31)32)30(2)25(36)33(23(21)35)14-17-18(26)6-4-7-19(17)27/h3-4,6-11H,1,5,12-14H2,2H3,(H,28,34)",CN1C2=C(C(=O)N(C1=O)CC3=C(C=CC=C3Cl)F)N4CCCN(C4=N2)C5=CC=C(C=C5)NC(=O)C=C,CN1C2=C(C(=O)N(C1=O)CC3=C(C=CC=C3Cl)F)N4CCCN(C4=N2)C5=CC=C(C=C5)NC(=O)C=C,VXJGLDRLVRUPIS-UHFFFAOYSA-N,"N-[4-[3-[(2-chloro-6-fluorophenyl)methyl]-1-methyl-2,4-dioxo-7,8-dihydro-6H-purino[7,8-a]pyrimidin-9-yl]phenyl]prop-2-enamide",508.143,508.143,0,1,0,0,0,0,0,0,0,0,0,0,"",Classification,1,"",20220428,"AbaChemScene|BLD Pharm|Debye Scientific Co., Ltd|MedChemexpress MCE|TargetMol",Chemical Vendors,""
163196253,KRAS G12C inhibitor 30,KRAS G12C inhibitor 30|2752352-90-0|DA-54670|HY-142481|CS-0372482,508.900,C25H22ClFN6O3,90.800,894.000,3.600,36,1,6,5,"InChI=1S/C25H22ClFN6O3/c1-3-20(34)28-15-7-4-8-16(13-15)31-11-6-12-32-21-22(29-24(31)32)30(2)25(36)33(23(21)35)14-17-18(26)9-5-10-19(17)27/h3-5,7-10,13H,1,6,11-12,14H2,2H3,(H,28,34)",CN1C2=C(C(=O)N(C1=O)CC3=C(C=CC=C3Cl)F)N4CCCN(C4=N2)C5=CC=CC(=C5)NC(=O)C=C,CN1C2=C(C(=O)N(C1=O)CC3=C(C=CC=C3Cl)F)N4CCCN(C4=N2)C5=CC=CC(=C5)NC(=O)C=C,FYTIAUJXQNHTOR-UHFFFAOYSA-N,"N-[3-[3-[(2-chloro-6-fluorophenyl)methyl]-1-methyl-2,4-dioxo-7,8-dihydro-6H-purino[7,8-a]pyrimidin-9-yl]phenyl]prop-2-enamide",508.143,508.143,0,1,0,0,0,0,0,0,0,0,0,0,"",Classification,1,"",20220428,"AbaChemScene|BLD Pharm|Debye Scientific Co., Ltd|InvivoChem|MedChemexpress MCE|TargetMol",Chemical Vendors,""
162732889,KRAS G12C inhibitor 53,KRAS G12C inhibitor 53|HY-147634|2761968-93-6,441.800,C21H14ClF2N5O2,84.100,713.000,3.300,31,1,7,3,"InChI=1S/C21H14ClF2N5O2/c1-2-16(31)28-8-10(9-28)29-21-11-6-12(22)17(18-13(23)4-3-5-15(18)30)19(24)20(11)25-7-14(21)26-27-29/h2-7,10,30H,1,8-9H2",C=CC(=O)N1CC(C1)N2C3=C(C=NC4=C(C(=C(C=C43)Cl)C5=C(C=CC=C5F)O)F)N=N2,C=CC(=O)N1CC(C1)N2C3=C(C=NC4=C(C(=C(C=C43)Cl)C5=C(C=CC=C5F)O)F)N=N2,FLWRXXXGEGVGBY-UHFFFAOYSA-N,"1-[3-[8-chloro-6-fluoro-7-(2-fluoro-6-hydroxyphenyl)triazolo[4,5-c]quinolin-1-yl]azetidin-1-yl]prop-2-en-1-one",441.08,441.08,0,1,0,0,0,0,0,0,0,0,0,0,"",Classification|Patents,2,"",20220405,MedChemexpress MCE|PATENTSCOPE (WIPO)|TargetMol,Chemical Vendors|Governmental Organizations,""
162732836,KRAS G12C inhibitor 52,KRAS G12C inhibitor 52|SCHEMBL25412792|HY-147633,670.700,C34H32F2N8O3S,157.000,1370.000,4.300,48,1,11,4,"InChI=1S/C34H32F2N8O3S/c1-7-23(45)42-14-22-32(46)41(6)29-28(43(22)13-17(42)5)19-12-21(36)25(18-8-9-20(35)30-26(18)40-34(37)48-30)39-31(19)44(33(29)47)27-16(4)10-11-38-24(27)15(2)3/h7-12,15,17,22H,1,13-14H2,2-6H3,(H2,37,40)/t17-,22-/m1/s1",C[C@@H]1CN2[C@H](CN1C(=O)C=C)C(=O)N(C3=C2C4=CC(=C(N=C4N(C3=O)C5=C(C=CN=C5C(C)C)C)C6=C7C(=C(C=C6)F)SC(=N7)N)F)C,CC1CN2C(CN1C(=O)C=C)C(=O)N(C3=C2C4=CC(=C(N=C4N(C3=O)C5=C(C=CN=C5C(C)C)C)C6=C7C(=C(C=C6)F)SC(=N7)N)F)C,BVZBQFKRIRKRES-VGOFRKELSA-N,"(4R,7R)-15-(2-amino-7-fluoro-1,3-benzothiazol-4-yl)-16-fluoro-4,9-dimethyl-12-(4-methyl-2-propan-2-ylpyridin-3-yl)-5-prop-2-enoyl-2,5,9,12,14-pentazatetracyclo[8.8.0.02,7.013,18]octadeca-1(10),13,15,17-tetraene-8,11-dione",670.229,670.229,0,1,0,2,2,0,0,0,0,0,0,0,"",Classification|Patents,2,"",20220405,MedChemexpress MCE|PATENTSCOPE (WIPO)|SureChEMBL,Chemical Vendors|Curation Efforts|Governmental Organizations|Research and Development,""
162732743,KRAS G12C inhibitor 51,"KRAS G12C inhibitor 51|2762632-78-8|DA-54675|HY-147632|6-cyclopropyl-7-(2-fluoro-6-hydroxyphenyl)-1-(4-methyl-2-propan-2-ylpyridin-3-yl)-4-[(2S)-2-methyl-4-prop-2-enoylpiperazin-1-yl]pyrido[2,3-d]pyrimidin-2-one",582.700,C33H35FN6O3,102.000,1100.000,4.800,43,1,6,6,"InChI=1S/C33H35FN6O3/c1-6-26(42)38-14-15-39(20(5)17-38)31-23-16-22(21-10-11-21)29(27-24(34)8-7-9-25(27)41)36-32(23)40(33(43)37-31)30-19(4)12-13-35-28(30)18(2)3/h6-9,12-13,16,18,20-21,41H,1,10-11,14-15,17H2,2-5H3/t20-/m0/s1",C[C@H]1CN(CCN1C2=NC(=O)N(C3=NC(=C(C=C32)C4CC4)C5=C(C=CC=C5F)O)C6=C(C=CN=C6C(C)C)C)C(=O)C=C,CC1CN(CCN1C2=NC(=O)N(C3=NC(=C(C=C32)C4CC4)C5=C(C=CC=C5F)O)C6=C(C=CN=C6C(C)C)C)C(=O)C=C,ITSNQKZLCHHZEF-FQEVSTJZSA-N,"6-cyclopropyl-7-(2-fluoro-6-hydroxyphenyl)-1-(4-methyl-2-propan-2-ylpyridin-3-yl)-4-[(2S)-2-methyl-4-prop-2-enoylpiperazin-1-yl]pyrido[2,3-d]pyrimidin-2-one",582.275,582.275,0,1,0,1,1,0,0,0,0,0,0,0,"",Classification|Patents,2,"",20220405,"Debye Scientific Co., Ltd|InvivoChem|MedChemexpress MCE|PATENTSCOPE (WIPO)|TargetMol",Chemical Vendors|Governmental Organizations,""
162679270,KRAS G12C inhibitor 23,"KRAS G12C inhibitor 23|2735721-00-1|SCHEMBL25679057|DA-54665|HY-145020|CS-0312209|11-fluoro-4-(4-methyl-2-propan-2-ylpyridin-3-yl)-1-[(2S)-2-methyl-4-prop-2-enoylpiperazin-1-yl]-6H-isochromeno[4,3-h]quinazolin-3-one",553.600,C32H32FN5O3,78.300,1050.000,4.500,41,0,5,4,"InChI=1S/C32H32FN5O3/c1-6-25(39)36-13-14-37(20(5)16-36)31-23-15-24(33)26-22-10-8-7-9-21(22)17-41-30(26)29(23)38(32(40)35-31)28-19(4)11-12-34-27(28)18(2)3/h6-12,15,18,20H,1,13-14,16-17H2,2-5H3/t20-/m0/s1",C[C@H]1CN(CCN1C2=NC(=O)N(C3=C4C(=C(C=C32)F)C5=CC=CC=C5CO4)C6=C(C=CN=C6C(C)C)C)C(=O)C=C,CC1CN(CCN1C2=NC(=O)N(C3=C4C(=C(C=C32)F)C5=CC=CC=C5CO4)C6=C(C=CN=C6C(C)C)C)C(=O)C=C,UWIDMHGDYVIUOQ-FQEVSTJZSA-N,"11-fluoro-4-(4-methyl-2-propan-2-ylpyridin-3-yl)-1-[(2S)-2-methyl-4-prop-2-enoylpiperazin-1-yl]-6H-isochromeno[4,3-h]quinazolin-3-one",553.249,553.249,0,1,0,1,1,0,0,0,0,0,0,0,"",Classification|Patents,2,"",20220329,"AbaChemScene|BLD Pharm|BOC Sciences|Debye Scientific Co., Ltd|InvivoChem|MedChemexpress MCE|PATENTSCOPE (WIPO)|SureChEMBL",Chemical Vendors|Curation Efforts|Governmental Organizations|Research and Development,""
162494732,KRAS G12C inhibitor 56,KRAS G12C inhibitor 56|SCHEMBL24091826|HY-148261|CS-0617473|2749963-77-5,617.800,C32H39N7O4S,172.000,1080.000,5.300,44,1,11,8,"InChI=1S/C32H39N7O4S/c1-5-28(40)39-14-10-20(11-15-39)42-27-17-26(41-19(2)22-8-7-13-38(22)4)35-31(36-27)23-16-25(37-43-23)32(3)12-6-9-24-29(32)21(18-33)30(34)44-24/h5,16-17,19-20,22H,1,6-15,34H2,2-4H3/t19-,22-,32+/m0/s1",C[C@@H]([C@@H]1CCCN1C)OC2=NC(=NC(=C2)OC3CCN(CC3)C(=O)C=C)C4=CC(=NO4)[C@]5(CCCC6=C5C(=C(S6)N)C#N)C,CC(C1CCCN1C)OC2=NC(=NC(=C2)OC3CCN(CC3)C(=O)C=C)C4=CC(=NO4)C5(CCCC6=C5C(=C(S6)N)C#N)C,VPGFGUVVEBRZJS-RKGKDDSLSA-N,"(4S)-2-amino-4-methyl-4-[5-[4-[(1S)-1-[(2S)-1-methylpyrrolidin-2-yl]ethoxy]-6-(1-prop-2-enoylpiperidin-4-yl)oxypyrimidin-2-yl]-1,2-oxazol-3-yl]-6,7-dihydro-5H-1-benzothiophene-3-carbonitrile",617.278,617.278,0,1,0,3,3,0,0,0,0,0,1,1,"",Patents,1,"",20220206,AbaChemScene|Google Patents|MedChemexpress MCE|PATENTSCOPE (WIPO)|SureChEMBL|TargetMol,Chemical Vendors|Curation Efforts|Governmental Organizations|Research and Development,""
159448580,KRAS G12C inhibitor 44,KRAS G12C inhibitor 44|2927439-07-2|SCHEMBL23645261|HY-142946|CS-0373987,579.100,C31H36ClFN6O2,85.600,1040.000,5.300,41,0,8,6,"InChI=1S/C31H36ClFN6O2/c1-20(33)29(40)39-16-15-38(18-21(39)10-13-34)28-24-9-12-31(11-8-23-25(31)6-3-7-26(23)32)17-27(24)35-30(36-28)41-19-22-5-4-14-37(22)2/h3,6-7,21-22H,1,4-5,8-12,14-19H2,2H3/t21-,22-,31-/m0/s1",CN1CCC[C@H]1COC2=NC3=C(CC[C@]4(C3)CCC5=C4C=CC=C5Cl)C(=N2)N6CCN([C@H](C6)CC#N)C(=O)C(=C)F,CN1CCCC1COC2=NC3=C(CCC4(C3)CCC5=C4C=CC=C5Cl)C(=N2)N6CCN(C(C6)CC#N)C(=O)C(=C)F,LTBOVTGFAXPDLV-CYYCZYJVSA-N,"2-[(2S)-4-[(3R)-7-chloro-2'-[[(2S)-1-methylpyrrolidin-2-yl]methoxy]spiro[1,2-dihydroindene-3,7'-6,8-dihydro-5H-quinazoline]-4'-yl]-1-(2-fluoroprop-2-enoyl)piperazin-2-yl]acetonitrile",578.257,578.257,0,1,0,3,3,0,0,0,0,0,3,1,"",Classification|Patents,2,"",20211203,AbaChemScene|BLD Pharm|Google Patents|MedChemexpress MCE|PATENTSCOPE (WIPO)|SureChEMBL|TargetMol,Chemical Vendors|Curation Efforts|Governmental Organizations|Research and Development,""
157827766,Glecirasib,Glecirasib|KRAS G12C inhibitor 36|KRAS G12C inhibitor 62|2657613-87-9|2658588-10-2|glecirasib [INN]|UP75WH4QKM|CHEMBL5314518|SCHEMBL23830094|EX-A8185Q|DA-54672|HY-143589|HY-157067|CS-0373885|CS-0904896|2658538-04-4,640.000,C31H26ClF4N7O2,119.000,1240.000,4.400,45,1,11,5,"InChI=1S/C31H26ClF4N7O2/c1-5-19(44)41-8-10-42(11-9-41)29-16-12-18(32)27(20-21(33)22(34)23(35)24(36)25(20)38)40-30(16)43(31(45)17(29)13-37)28-15(4)6-7-39-26(28)14(2)3/h5-7,12,14H,1,8-11,38H2,2-4H3",CC1=C(C(=NC=C1)C(C)C)N2C3=NC(=C(C=C3C(=C(C2=O)C#N)N4CCN(CC4)C(=O)C=C)Cl)C5=C(C(=C(C(=C5F)F)F)F)N,CC1=C(C(=NC=C1)C(C)C)N2C3=NC(=C(C=C3C(=C(C2=O)C#N)N4CCN(CC4)C(=O)C=C)Cl)C5=C(C(=C(C(=C5F)F)F)F)N,QRRJEUIQLZNPIO-UHFFFAOYSA-N,"7-(2-amino-3,4,5,6-tetrafluorophenyl)-6-chloro-1-(4-methyl-2-propan-2-ylpyridin-3-yl)-2-oxo-4-(4-prop-2-enoylpiperazin-1-yl)-1,8-naphthyridine-3-carbonitrile",639.177,639.177,0,1,0,0,0,0,0,0,0,0,3,1,"",Classification|Drug and Medication Information|Patents|Associated Disorders and Diseases,4,"",20211203,"AbaChemScene|BLD Pharm|ChEMBL|Debye Scientific Co., Ltd|Excenen Pharmatech|FDA Global Substance Registration System (GSRS)|Google Patents|MedChemexpress MCE|MolGenie|MolPort|PATENTSCOPE (WIPO)|SureChEMBL|TargetMol",Chemical Vendors|Curation Efforts|Governmental Organizations|Research and Development,""
